id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
276,La maschera di ferro,Allan Dwan,Stany Zjednoczone,f,95,1929,t
277,La romanza dell'amore,Sam Wood,Stany Zjednoczone,f,93,1929,t
278,Erik il grande,Pál Fejös,Stany Zjednoczone,f,60,1929,t
279,The Last Warning,Paul Leni,Stany Zjednoczone,f,89,1928,t
280,La porta chiusa,George Fitzmaurice,Stany Zjednoczone,f,74,1929,t
281,Il principe consorte,Ernst Lubitsch,Stany Zjednoczone,f,107,1929,t
282,La compagnia d'assalto,Robert Z. Leonard,Stany Zjednoczone,f,111,1929,t
283,Asfalto,Joe May,Niemcy,f,90,1929,t
284,Una donna nella luna,Fritz Lang,Niemcy,f,156,1929,f
285,Uomini di domenica,"Robert Siodmak, Edgar G. Ulmer",Niemcy,f,73,1930,t
286,L'isola misteriosa,"Lucien Hubbard, Benjamin Christensen",Stany Zjednoczone,f,95,1929,f
287,Notti di New York,Lewis Milestone,Stany Zjednoczone,f,82,1929,t
288,The Racketeer,Howard Higgin,Stany Zjednoczone,f,68,1929,t
289,Redskin,Victor Schertzinger,Stany Zjednoczone,f,82,1929,t
290,Rio Rita,Luther Reed,Stany Zjednoczone,f,140,1929,t
291,Arcobaleno,Charles Reisner,Stany Zjednoczone,f,96,1930,f
292,Saluto militare,"David Butler, John Ford",Stany Zjednoczone,f,84,1929,t
293,Seven Keys to Baldpate,Reginald Barker,Stany Zjednoczone,f,72,1929,t
294,Show Boat,"Harry A. Pollard, Arch Heath",Stany Zjednoczone,f,147,1929,t
295,Fatemi la corte,Sam Wood,Stany Zjednoczone,f,98,1929,t
296,Cuori e motori,Harry Beaumont,Stany Zjednoczone,f,76,1929,f
297,The Squall,Alexander Korda,Stany Zjednoczone,f,105,1929,t
298,La ragazza del bacio,Wesley Ruggles,Stany Zjednoczone,f,87,1929,t
299,Roadblock,Harold Daniels,Stany Zjednoczone,f,73,1951,t
300,La mazzata,Josef von Sternberg,Stany Zjednoczone,f,85,1929,t
301,L'indomabile,Jack Conway,Stany Zjednoczone,f,86,1929,t
302,Why Be Good?,William A. Seiter,Stany Zjednoczone,f,84,1929,t
303,Il cavaliere della libertà,D.W. Griffith,Stany Zjednoczone,f,96,1930,f
304,The Bat Whispers,Roland West,Stany Zjednoczone,f,83,1930,t
305,Beau Ideal,Herbert Brenon,Stany Zjednoczone,f,79,1931,f
306,The Benson Murder Case,Frank Tuttle,Stany Zjednoczone,f,65,1930,t
307,Carcere,"George W. Hill, Ward Wing",Stany Zjednoczone,f,87,1930,t
308,La tragedia di Pizzo Palù,"Arnold Fanck, Georg Wilhelm Pabst",Niemcy,f,150,1929,t
309,La conquista dell'America,Hobart Henley,Stany Zjednoczone,f,72,1930,t
310,Il grande sentiero,"Raoul Walsh, Louis R. Loeffler",Stany Zjednoczone,f,125,1930,f
311,Billy the Kid,King Vidor,Stany Zjednoczone,f,98,1930,t
312,Temerario nato,John Ford,Stany Zjednoczone,f,82,1930,t
313,Bright Lights,Michael Curtiz,Stany Zjednoczone,f,69,1930,f
314,Captain Thunder,Alan Crosland,Stany Zjednoczone,f,65,1930,t
315,Children of Pleasure,Harry Beaumont,Stany Zjednoczone,f,70,1930,t
316,La squadriglia dell'aurora,Howard Hawks,Stany Zjednoczone,f,108,1930,t
317,Dixiana,Luther Reed,Stany Zjednoczone,f,100,1930,t
318,Il guerriero,Edward Sedgwick,Stany Zjednoczone,f,79,1930,t
319,The Fall Guy,Leslie Pearce,Stany Zjednoczone,f,66,1930,t
320,The Menace,Roy William Neill,Stany Zjednoczone,f,64,1932,t
321,Piano coi piedi,"Clyde Bruckman, Harold Lloyd",Stany Zjednoczone,f,93,1930,t
322,Ragazze e giovanotti del 1890,Harry Beaumont,Stany Zjednoczone,f,79,1930,t
323,Follow Thru,"Lloyd Corrigan, Laurence Schwab",Stany Zjednoczone,f,92,1930,t
324,For the Defense,John Cromwell,Stany Zjednoczone,f,65,1930,t
325,Framed,George Archainbaud,Stany Zjednoczone,f,65,1930,t
326,Golden Dawn,Ray Enright,Stany Zjednoczone,f,81,1930,t
327,La stella della Taverna Nera,Tay Garnett,Stany Zjednoczone,f,85,1930,t
328,Inside the Lines,Roy Pomeroy,Stany Zjednoczone,f,72,1930,t
329,I prodigi del 2000,David Butler,Stany Zjednoczone,f,113,1930,t
330,Il re del jazz,"John Murray Anderson, Walter Lantz",Stany Zjednoczone,f,99,1930,t
331,The Lady of Scandal,Sidney Franklin,Stany Zjednoczone,f,76,1930,t
332,La sferzata,Frank Lloyd,Stany Zjednoczone,f,77,1930,t
333,Nel regno della fantasia,Leo McCarey,Stany Zjednoczone,f,77,1930,t
334,The Life of the Party,Roy Del Ruth,Stany Zjednoczone,f,79,1930,t
417,"Her Majesty, Love",William Dieterle,Stany Zjednoczone,f,75,1931,t
335,The Light of Western Stars,"Otto Brower, Edwin H. Knopf",Stany Zjednoczone,f,70,1930,t
336,Piccolo Cesare,Mervyn LeRoy,Stany Zjednoczone,f,79,1931,t
337,Lord Byron of Broadway,"Harry Beaumont, William Nigh",Stany Zjednoczone,f,80,1930,t
338,The Pay-Off,Lowell Sherman,Stany Zjednoczone,f,65,1930,t
339,Love in the Rough,Charles Reisner,Stany Zjednoczone,f,84,1930,f
340,La sirenetta dell'autostrada,Wilhelm Thiele,Niemcy,f,99,1930,t
341,Passeggiate allegramente!,Yasujirô Ozu,Japonia,f,95,1930,t
342,Madame Satan,Cecil B. DeMille,Stany Zjednoczone,f,116,1930,t
343,Nomadi del canto,Michael Curtiz,Stany Zjednoczone,f,84,1930,t
344,Maybe It's Love,William A. Wellman,Stany Zjednoczone,f,72,1930,f
345,Un marito fuori posto,Malcolm St. Clair,Stany Zjednoczone,f,89,1930,f
346,Monte Carlo,Ernst Lubitsch,Stany Zjednoczone,f,90,1930,f
347,Passione cosacca,Jack Conway,Stany Zjednoczone,f,78,1930,t
