id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1068,Detector,Ian Barry,Australia,f,01:32:00,1980,t
1069,I magnifici sette nello spazio,"Jimmy T. Murakami, Roger Corman",Stany Zjednoczone,f,01:44:00,1980,t
1070,The Black Marble,Harold Becker,Stany Zjednoczone,f,01:53:00,1980,f
1071,Laguna blu,Randal Kleiser,Stany Zjednoczone,f,01:44:00,1980,t
1072,The Blues Brothers - I fratelli Blues,John Landis,Stany Zjednoczone,f,02:13:00,1980,f
1073,La ragazza di Nashville,Michael Apted,Stany Zjednoczone,f,02:04:00,1980,f
1074,Il lenzuolo viola,Nicolas Roeg,Wielka Brytania,f,02:03:00,1980,t
1075,Las aventuras de Enrique y Ana,Ramón Fernández,Hiszpania,f,01:31:00,1981,t
1076,Coast to Coast,Joseph Sargent,Stany Zjednoczone,f,01:35:00,1980,t
1077,Competition,Joel Oliansky,Stany Zjednoczone,f,02:03:00,1980,f
1078,Die Laughing,Jeff Werner,Stany Zjednoczone,f,01:48:00,1980,t
1079,L'Impero colpisce ancora,Irvin Kershner,Stany Zjednoczone,f,02:04:00,1980,t
1080,Diabolico complotto del Dr. Fu Manchu,"Piers Haggard, Richard Quine",Stany Zjednoczone,f,01:40:00,1980,f
1081,Foolin' Around,Richard T. Heffron,Stany Zjednoczone,f,01:51:00,1980,t
1082,Forbidden Zone,Richard Elfman,Stany Zjednoczone,f,01:14:00,1980,t
1083,L'ombrello bulgaro,Gérard Oury,Francja,f,01:38:00,1980,t
1084,L'ultimo metrò,François Truffaut,Francja,f,02:11:00,1980,t
1085,El liguero mágico,Mariano Ozores,Hiszpania,f,01:36:00,1980,t
1086,Gui da gui,Sammo Kam-Bo Hung,Hong Kong,f,01:42:00,1980,t
1087,Gui yao gui,Ricky Lau,Hong Kong,f,01:27:00,1989,t
1088,Harlequin,Simon Wincer,Australia,f,01:35:00,1980,t
1089,Shen bu you ji,Sammo Kam-Bo Hung,Hong Kong,f,01:29:00,1980,t
1090,Gloria - Una notte d'estate,John Cassavetes,Stany Zjednoczone,f,02:03:00,1980,t
1091,Hangar 18,James L. Conway,Stany Zjednoczone,f,01:37:00,1980,t
1092,I cancelli del cielo,Michael Cimino,Stany Zjednoczone,f,03:39:00,1980,t
